amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
,received,14/01139/S106/10,14/01139/S106/10/T1,2019-05-01,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-10-T1
,allocated,14/01139/S106/10,14/01139/S106/10/T2,,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-10-T2
,spent,14/01139/S106/10,14/01139/S106/10/T3,,2020-12-10,local-authority-eng:NTY,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-10-T3
,allocated,14/01139/S106/12,14/01139/S106/12/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-12-T1
,spent,14/01139/S106/16,14/01139/S106/16/T1,,2020-12-10,local-authority-eng:NTY,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-16-T1
,received,14/01139/S106/16,14/01139/S106/16/T2,2019-05-01,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-16-T2
,allocated,14/01139/S106/16,14/01139/S106/16/T3,,2020-12-11,local-authority-eng:NTY,2019-05-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-16-T3
,received,14/01139/S106/16,14/01139/S106/16/T4,2020-02-01,2020-12-11,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-16-T4
,allocated,14/01139/S106/16,14/01139/S106/16/T5,,2020-12-11,local-authority-eng:NTY,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-16-T5
,allocated,14/01139/S106/4,14/01139/S106/4/T1,,2020-12-11,local-authority-eng:NTY,2019-01-01,,/developer-agreement-transaction/local-authority-eng/NTY/14-01139-S106-4-T1
