amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
33339.04,spent,11/00360/FUL-S2.2.1.2,11/00360/FUL-S2.2.1.2-TRANS4,,2020-12-02,2015-03-31,,
33339.04,secured,11/00360/FUL-S2.2.1.3,11/00360/FUL-S2.2.1.3-TRANS1,,2020-12-02,2014-10-04,,
33339.04,received,11/00360/FUL-S2.2.1.3,11/00360/FUL-S2.2.1.3-TRANS2,,2020-12-02,2014-11-04,,
33339.04,allocated,11/00360/FUL-S2.2.1.3,11/00360/FUL-S2.2.1.3-TRANS3,,2020-12-02,2014-11-04,,
33339.04,spent,11/00360/FUL-S2.2.1.3,11/00360/FUL-S2.2.1.3-TRANS4,,2020-12-02,2015-03-31,,
12387.82,secured,11/00360/FUL-S2.3.1.1,11/00360/FUL-S2.3.1.1-TRANS1,,2020-12-02,2013-04-24,,
12387.82,received,11/00360/FUL-S2.3.1.1,11/00360/FUL-S2.3.1.1-TRANS2,,2020-12-02,2014-11-04,,
12387.82,allocated,11/00360/FUL-S2.3.1.1,11/00360/FUL-S2.3.1.1-TRANS3,,2020-12-02,2014-11-04,,
12387.82,secured,11/00360/FUL-S2.3.1.2,11/00360/FUL-S2.3.1.2-TRANS1,,2020-12-02,2013-11-24,,
12387.82,received,11/00360/FUL-S2.3.1.2,11/00360/FUL-S2.3.1.2-TRANS2,,2020-12-02,2014-11-04,,
12387.82,allocated,11/00360/FUL-S2.3.1.2,11/00360/FUL-S2.3.1.2-TRANS3,,2020-12-02,2014-11-04,,
12387.82,secured,11/00360/FUL-S2.3.1.3,11/00360/FUL-S2.3.1.3-TRANS1,,2020-12-02,2014-10-04,,
12387.82,received,11/00360/FUL-S2.3.1.3,11/00360/FUL-S2.3.1.3-TRANS2,,2020-12-02,2014-11-04,,
12387.82,allocated,11/00360/FUL-S2.3.1.3,11/00360/FUL-S2.3.1.3-TRANS3,,2020-12-02,2014-11-04,,
4.026E+4,secured,11/00360/FUL-S2.4.1,11/00360/FUL-S2.4.1-TRANS1,,2020-12-02,2013-04-24,,
4.026E+4,received,11/00360/FUL-S2.4.1,11/00360/FUL-S2.4.1-TRANS2,,2020-12-02,2014-11-04,,
4.026E+4,allocated,11/00360/FUL-S2.4.1,11/00360/FUL-S2.4.1-TRANS3,,2020-12-02,2014-11-04,,
41632,secured,11/00360/FUL-S2.5.1.1,11/00360/FUL-S2.5.1.1-TRANS1,,2020-12-02,2013-04-24,,
41632,received,11/00360/FUL-S2.5.1.1,11/00360/FUL-S2.5.1.1-TRANS2,,2020-12-02,2014-11-04,,
41632,allocated,11/00360/FUL-S2.5.1.1,11/00360/FUL-S2.5.1.1-TRANS3,,2020-12-02,2014-11-04,,
41632,secured,11/00360/FUL-S2.5.1.2,11/00360/FUL-S2.5.1.2-TRANS1,,2020-12-02,2013-11-24,,
41632,received,11/00360/FUL-S2.5.1.2,11/00360/FUL-S2.5.1.2-TRANS2,,2020-12-02,2014-11-04,,
41632,allocated,11/00360/FUL-S2.5.1.2,11/00360/FUL-S2.5.1.2-TRANS3,,2020-12-02,2014-11-04,,
41632,secured,11/00360/FUL-S2.5.1.3,11/00360/FUL-S2.5.1.3-TRANS1,,2020-12-02,2014-10-04,,
41632,received,11/00360/FUL-S2.5.1.3,11/00360/FUL-S2.5.1.3-TRANS2,,2020-12-02,2014-11-04,,
41632,allocated,11/00360/FUL-S2.5.1.3,11/00360/FUL-S2.5.1.3-TRANS3,,2020-12-02,2014-11-04,,
7813.75,secured,08/01630/FUL-S2.2,08/01630/FUL-S2.2-TRANS1,,2020-12-02,2014-10-04,,
