resource,amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,14977.1,allocated,75848/06-dc1,75848/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1028.47,allocated,79414/08-dc1,79414/08-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,74418.51,allocated,76656/07-dc1,76656/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6914.21,allocated,84637/10-dc1,84637/10-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,6914.21,allocated,84637/10-dc2,84637/10-dt2,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,2.5E+3,allocated,78526/07-dc1,78526/07-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,32447.47,allocated,75033/06-dc2,75033/06-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,5E+3,allocated,95486/15-dc1,95486/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,24745,allocated,93831/15-dc1,93831/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,1.93E+4,allocated,97826/16-dc1,97826/16-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,9.4E+3,allocated,95151/15-dc1,95151/15-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4.95E+3,allocated,00940/17-dc1,00940/17-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4.95E+3,allocated,96178/16-dc1,96178/16-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,38995.82,allocated,97199/16-dc1,97199/16-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,4.85E+3,allocated,02435/17-dc1,02435/17-dt1,,2020-03-31,2020-03-31,,
0fd81d6f28df754333964c21dc122fe8a63ba8291de4cd7e4e37e2f11b8d06f8,13579.93,allocated,97377/16-dc1,97377/16-dt1,,2020-03-31,2020-03-31,,
